attendance_id,session_id,student_id,attendance_status,marked_at
A000069,SES0002,S0130,present,2025-02-15 20:16:00
A000070,SES0002,S0253,present,2025-02-15 20:10:00
A000071,SES0002,S0137,present,2025-02-15 20:19:00
A000072,SES0002,S0172,absent,2025-02-15 20:44:00
A000073,SES0002,S0194,absent,2025-02-15 20:46:00
A000074,SES0002,S0007,absent,2025-02-15 20:36:00
A000075,SES0002,S0107,present,2025-02-15 20:57:00
A000076,SES0002,S0199,present,2025-02-15 20:47:00
A000077,SES0002,S0081,present,2025-02-15 20:28:00
A000078,SES0002,S0110,present,2025-02-15 20:18:00
A000079,SES0002,S0313,absent,2025-02-15 20:09:00
A000080,SES0002,S0212,present,2025-02-15 20:27:00
A000081,SES0002,S0159,present,2025-02-15 20:09:00
A000082,SES0002,S0083,absent,2025-02-15 20:16:00
A000083,SES0002,S0193,present,2025-02-15 20:27:00
A000084,SES0002,S0164,present,2025-02-15 20:35:00
A000085,SES0002,S0025,present,2025-02-15 20:43:00
A000086,SES0002,S0175,late,2025-02-15 20:03:00
A000087,SES0002,S0150,present,2025-02-15 20:04:00
A000088,SES0002,S0224,present,2025-02-15 20:09:00
A000089,SES0002,S0185,present,2025-02-15 20:33:00
A000090,SES0002,S0173,absent,2025-02-15 20:45:00
A000091,SES0002,S0200,present,2025-02-15 20:48:00
A000092,SES0002,S0196,present,2025-02-15 20:07:00
A000093,SES0002,S0239,present,2025-02-15 20:41:00
A000094,SES0002,S0135,present,2025-02-15 20:38:00
A000095,SES0002,S0068,present,2025-02-15 20:24:00
A000096,SES0002,S0050,present,2025-02-15 20:38:00
A000097,SES0002,S0044,present,2025-02-15 20:55:00
A000098,SES0002,S0262,absent,2025-02-15 20:50:00
A000099,SES0002,S0060,present,2025-02-15 20:48:00
A000100,SES0002,S0038,absent,2025-02-15 20:49:00
A000101,SES0003,S0105,present,2025-02-23 20:33:00
A000102,SES0003,S0135,present,2025-02-23 20:58:00
A000103,SES0003,S0258,present,2025-02-23 20:01:00
A000104,SES0003,S9999,present,2025-02-23 20:59:00
A000105,SES0003,S0313,present,2025-02-23 20:18:00
A000106,SES0003,S0264,present,2025-02-23 20:58:00
A000107,SES0003,S0223,absent,2025-02-23 20:39:00
A000108,SES0003,S0217,present,2025-02-23 20:03:00
A000109,SES0003,S0287,present,2025-02-23 20:29:00
A000110,SES0003,S0259,present,2025-02-23 20:46:00
A000111,SES0003,S0107,present,2025-02-23 20:42:00
A000112,SES0003,S0295,present,2025-02-23 20:11:00
A000113,SES0003,S0200,present,2025-02-23 20:57:00
A000114,SES0003,S0262,present,2025-02-23 20:25:00
A000115,SES0003,S0305,present,2025-02-23 20:47:00
A000116,SES0003,S0083,late,2025-02-23 20:51:00
A000117,SES0003,S0178,absent,2025-02-23 20:54:00
A000118,SES0003,S0293,present,2025-02-23 20:28:00
A000119,SES0003,S0062,present,2025-02-23 20:14:00
A000120,SES0003,S0304,present,2025-02-23 20:30:00
A000121,SES0003,S0060,present,2025-02-23 20:04:00
A000122,SES0003,S0151,late,2025-02-23 20:02:00
A000123,SES0003,S0218,present,2025-02-23 20:36:00
A000124,SES0003,S0185,present,2025-02-23 20:58:00
A000125,SES0003,S0110,present,2025-02-23 21:00:00
A000126,SES0003,S0150,absent,2025-02-23 20:57:00
A000127,SES0003,S0027,present,2025-02-23 20:13:00
A000128,SES0003,S0104,present,2025-02-23 20:13:00
A000129,SES0003,S0094,present,2025-02-23 20:17:00
A000130,SES0003,S0044,present,2025-02-23 20:27:00
A000131,SES0003,S0193,present,2025-02-23 20:16:00
A000132,SES0003,S0038,present,2025-02-23 20:07:00
A000133,SES0003,S0314,present,2025-02-23 20:15:00
A000134,SES0003,S0093,present,2025-02-23 20:17:00
A000135,SES0003,S0007,late,2025-02-23 20:44:00
A000136,SES0003,S0317,present,2025-02-23 20:12:00
A000137,SES0003,S0172,present,2025-02-23 20:06:00
A000138,SES0003,S0164,present,2025-02-23 20:17:00
A000139,SES0003,S0231,absent,2025-02-23 20:07:00
A000140,SES0003,S0171,present,2025-02-23 20:52:00
A000141,SES0003,S0199,present,2025-02-23 20:25:00
A000142,SES0003,S0134,present,2025-02-23 20:09:00
A000143,SES0003,S0253,present,2025-02-23 20:01:00
A000144,SES0003,S0211,present,2025-02-23 21:00:00
A000145,SES0003,S0061,present,2025-02-23 20:30:00
A000146,SES0003,S0103,present,2025-02-23 20:29:00
A000147,SES0003,S0031,present,2025-02-23 20:13:00
A000148,SES0003,S0028,present,2025-02-23 20:22:00
A000149,SES0003,S0142,present,2025-02-23 20:09:00
A000150,SES0003,S0004,absent,2025-02-23 20:42:00
A000151,SES0004,S0262,present,2025-03-03 20:46:00
A000152,SES0004,S0173,absent,2025-03-03 20:38:00
A000153,SES0004,S0019,present,2025-03-03 20:29:00
A000154,SES0004,S0004,present,2025-03-03 20:10:00
A000155,SES0004,S0231,present,2025-03-03 20:27:00
A000156,SES0004,S0068,present,2025-03-03 20:58:00
A000157,SES0004,S0287,present,2025-03-03 20:43:00
A000158,SES0004,S0164,present,2025-03-03 20:20:00
A000159,SES0004,S0132,absent,2025-03-03 20:15:00
A000160,SES0004,S0259,absent,2025-03-03 20:00:00
A000161,SES0004,S0181,present,2025-03-03 20:00:00
A000162,SES0004,S0264,present,2025-03-03 20:49:00
A000163,SES0004,S0313,present,2025-03-03 20:03:00
A000164,SES0004,S0018,absent,2025-03-03 20:30:00
A000165,SES0004,S0293,absent,2025-03-03 20:51:00
A000166,SES0004,S0217,absent,2025-03-03 20:39:00
A000167,SES0004,S0218,present,2025-03-03 20:57:00
A000168,SES0004,S0086,present,2025-03-03 20:44:00
A000169,SES0004,S0150,present,2025-03-03 20:54:00
A000170,SES0004,S0172,present,2025-03-03 20:02:00
A000171,SES0004,S0178,absent,2025-03-03 20:06:00
A000172,SES0004,S0304,present,2025-03-03 20:15:00
A000173,SES0004,S0307,absent,2025-03-03 20:24:00
A000174,SES0004,S0274,present,2025-03-03 20:43:00
A000175,SES0004,S0314,present,2025-03-03 20:59:00
A000176,SES0004,S9999,present,2025-03-03 20:57:00
A000177,SES0004,S0305,absent,2025-03-03 20:09:00
A000178,SES0004,S0171,absent,2025-03-03 20:56:00
A000179,SES0004,S0238,present,2025-03-03 20:21:00
A000180,SES0004,S0083,absent,2025-03-03 20:03:00
A000181,SES0004,S0137,present,2025-03-03 20:39:00
A000182,SES0004,S0194,absent,2025-03-03 20:57:00
A000183,SES0004,S0295,present,2025-03-03 20:05:00
A000184,SES0004,S0193,late,2025-03-03 20:23:00
A000185,SES0004,S0061,present,2025-03-03 20:59:00
A000186,SES0004,S0094,present,2025-03-03 20:36:00
A000187,SES0004,S0185,present,2025-03-03 20:37:00
A000188,SES0004,S0296,absent,2025-03-03 20:10:00
A000189,SES0004,S0135,absent,2025-03-03 20:55:00
A000190,SES0004,S0103,present,2025-03-03 20:20:00
A000191,SES0004,S0219,present,2025-03-03 20:27:00
A000192,SES0004,S0200,present,2025-03-03 20:13:00
A000193,SES0004,S0081,present,2025-03-03 20:06:00
A000194,SES0004,S0235,present,2025-03-03 20:34:00
A000195,SES0004,S0062,late,2025-03-03 20:19:00
A000196,SES0004,S0104,present,2025-03-03 20:05:00
A000197,SES0004,S0253,present,2025-03-03 20:51:00
A000198,SES0004,S0105,absent,2025-03-03 20:36:00
A000199,SES0004,S0027,present,2025-03-03 20:05:00
A000200,SES0004,S0282,absent,2025-03-03 20:25:00
A000201,SES0005,S0292,present,2025-03-09 20:34:00
A000202,SES0005,S0304,present,2025-03-09 20:51:00
A000203,SES0005,S0105,present,2025-03-09 20:38:00
A000204,SES0005,S0107,absent,2025-03-09 20:56:00
A000205,SES0005,S0027,present,2025-03-09 20:08:00
A000206,SES0005,S0134,present,2025-03-09 21:00:00
A000207,SES0005,S0287,present,2025-03-09 20:49:00
A000208,SES0005,S0043,present,2025-03-09 20:35:00
A000209,SES0005,S0172,present,2025-03-09 20:23:00
A000210,SES0005,S0218,present,2025-03-09 20:32:00
A000211,SES0005,S0173,present,2025-03-09 20:20:00
A000212,SES0005,S0025,present,2025-03-09 20:03:00
A000213,SES0005,S0238,present,2025-03-09 20:12:00
A000214,SES0005,S0004,present,2025-03-09 20:36:00
A000215,SES0005,S0178,present,2025-03-09 20:41:00
A000216,SES0005,S0293,present,2025-03-09 20:16:00
A000217,SES0005,S0193,present,2025-03-09 20:34:00
A000218,SES0005,S0031,present,2025-03-09 20:33:00
A000219,SES0005,S0282,present,2025-03-09 20:20:00
A000220,SES0005,S0264,present,2025-03-09 20:59:00
A000221,SES0005,S0211,present,2025-03-09 20:35:00
A000222,SES0005,S0239,late,2025-03-09 20:17:00
A000223,SES0005,S0060,late,2025-03-09 20:38:00
A000224,SES0005,S0313,absent,2025-03-09 20:34:00
A000225,SES0005,S0223,absent,2025-03-09 20:53:00
A000226,SES0005,S0028,present,2025-03-09 20:19:00
A000227,SES0005,S9999,present,2025-03-09 20:39:00
A000228,SES0005,S0199,absent,2025-03-09 20:57:00
A000229,SES0005,S0019,present,2025-03-09 20:54:00
A000230,SES0005,S0200,absent,2025-03-09 20:43:00
A000231,SES0005,S0259,late,2025-03-09 20:16:00
A000232,SES0005,S0142,present,2025-03-09 20:19:00
A000233,SES0005,S0135,present,2025-03-09 20:02:00
A000234,SES0005,S0081,present,2025-03-09 20:24:00
A000235,SES0005,S0007,present,2025-03-09 20:01:00
A000236,SES0005,S0181,absent,2025-03-09 20:59:00
A000237,SES0005,S0137,present,2025-03-09 20:53:00
A000238,SES0005,S0219,present,2025-03-09 20:00:00
A000239,SES0005,S0224,present,2025-03-09 20:19:00
A000240,SES0005,S0217,present,2025-03-09 20:25:00
A000241,SES0005,S0132,absent,2025-03-09 20:23:00
A000242,SES0005,S0050,present,2025-03-09 20:06:00
A000243,SES0005,S0258,present,2025-03-09 20:56:00
A000244,SES0005,S0104,absent,2025-03-09 20:43:00
A000245,SES0005,S0159,absent,2025-03-09 20:14:00
A000246,SES0005,S0061,absent,2025-03-09 20:03:00
A000247,SES0005,S0212,present,2025-03-09 20:40:00
A000248,SES0005,S0038,present,2025-03-09 20:24:00
A000249,SES0005,S0177,present,2025-03-09 20:03:00
A000250,SES0005,S0068,absent,2025-03-09 20:53:00
A000251,SES0006,S0185,present,2025-03-16 20:14:00
A000252,SES0006,S0018,present,2025-03-16 20:06:00
A000253,SES0006,S0178,present,2025-03-16 20:40:00
A000254,SES0006,S0313,present,2025-03-16 20:08:00
A000255,SES0006,S0007,present,2025-03-16 20:26:00
A000256,SES0006,S0259,absent,2025-03-16 20:08:00
A000257,SES0006,S9999,present,2025-03-16 20:28:00
A000258,SES0006,S0193,present,2025-03-16 20:40:00
A000259,SES0006,S0224,absent,2025-03-16 20:06:00
A000260,SES0006,S0217,absent,2025-03-16 21:00:00
A000261,SES0006,S0175,absent,2025-03-16 20:15:00
A000262,SES0006,S0239,present,2025-03-16 20:57:00
A000263,SES0006,S0274,late,2025-03-16 20:15:00
A000264,SES0006,S0110,present,2025-03-16 20:16:00
A000265,SES0006,S0235,present,2025-03-16 20:10:00
A000266,SES0006,S0135,present,2025-03-16 20:34:00
A000267,SES0006,S0050,absent,2025-03-16 20:50:00
A000268,SES0006,S0171,present,2025-03-16 20:19:00
A000269,SES0006,S0289,present,2025-03-16 20:51:00
A000270,SES0006,S0150,present,2025-03-16 20:56:00
A000271,SES0006,S0061,present,2025-03-16 20:28:00
A000272,SES0006,S0132,present,2025-03-16 20:09:00
A000273,SES0006,S0038,absent,2025-03-16 20:26:00
A000274,SES0006,S0219,present,2025-03-16 20:57:00
A000275,SES0006,S0159,absent,2025-03-16 20:25:00
A000276,SES0006,S0212,present,2025-03-16 20:34:00
A000277,SES0006,S0162,present,2025-03-16 20:42:00
A000278,SES0006,S0307,late,2025-03-16 20:58:00
A000279,SES0006,S0181,present,2025-03-16 20:02:00
A000280,SES0006,S0262,present,2025-03-16 20:23:00
A000281,SES0006,S0086,absent,2025-03-16 20:36:00
A000282,SES0006,S0287,present,2025-03-16 20:58:00
A000283,SES0006,S0025,absent,2025-03-16 20:48:00
A000284,SES0006,S0314,present,2025-03-16 20:07:00
A000285,SES0006,S0295,present,2025-03-16 20:53:00
A000286,SES0006,S0304,present,2025-03-16 20:57:00
A000287,SES0006,S0104,present,2025-03-16 20:05:00
A000288,SES0006,S0004,absent,2025-03-16 20:17:00
A000289,SES0006,S0231,present,2025-03-16 20:34:00
A000290,SES0006,S0028,late,2025-03-16 20:47:00
A000291,SES0006,S0293,absent,2025-03-16 20:21:00
A000292,SES0006,S0031,present,2025-03-16 20:06:00
A000293,SES0006,S0238,present,2025-03-16 20:03:00
A000294,SES0006,S0282,late,2025-03-16 20:29:00
A000295,SES0006,S0068,present,2025-03-16 20:58:00
A000296,SES0006,S0264,present,2025-03-16 20:17:00
A000297,SES0006,S0019,present,2025-03-16 20:46:00
A000298,SES0006,S0083,absent,2025-03-16 20:51:00
A000299,SES0006,S0044,present,2025-03-16 20:33:00
A000300,SES0006,S0066,late,2025-03-16 20:55:00
A000301,SES0007,S0044,present,2025-02-10 20:14:00
A000302,SES0007,S0155,present,2025-02-10 20:59:00
A000303,SES0007,S0275,absent,2025-02-10 20:08:00
A000304,SES0007,S0304,present,2025-02-10 20:51:00
A000305,SES0007,S0264,present,2025-02-10 20:53:00
A000306,SES0007,S0316,present,2025-02-10 20:11:00
A000307,SES0007,S0134,present,2025-02-10 20:17:00
A000308,SES0007,S0120,present,2025-02-10 20:19:00
A000309,SES0007,S0177,present,2025-02-10 20:06:00
A000310,SES0007,S0174,present,2025-02-10 20:25:00
A000311,SES0007,S0032,present,2025-02-10 20:24:00
A000312,SES0007,S0244,absent,2025-02-10 20:35:00
A000313,SES0007,S0270,present,2025-02-10 20:25:00
A000314,SES0007,S0281,present,2025-02-10 20:21:00
A000315,SES0007,S0152,present,2025-02-10 20:03:00
A000316,SES0007,S0110,present,2025-02-10 20:48:00
A000317,SES0007,S0303,present,2025-02-10 20:05:00
A000318,SES0007,S0188,present,2025-02-10 20:05:00
A000319,SES0007,S0282,present,2025-02-10 20:04:00
A000320,SES0007,S0012,present,2025-02-10 20:12:00
A000321,SES0007,S0004,present,2025-02-10 20:07:00
A000322,SES0007,S0289,absent,2025-02-10 21:00:00
A000323,SES0007,S0161,present,2025-02-10 20:00:00
A000324,SES0007,S0176,present,2025-02-10 20:32:00
A000325,SES0007,S0053,present,2025-02-10 20:12:00
A000326,SES0007,S0171,present,2025-02-10 20:29:00
A000327,SES0007,S0243,late,2025-02-10 20:36:00
A000328,SES0007,S0290,absent,2025-02-10 20:28:00
A000329,SES0007,S0222,present,2025-02-10 20:11:00
A000330,SES0007,S0228,present,2025-02-10 20:39:00
A000331,SES0007,S0250,absent,2025-02-10 20:47:00
A000332,SES0007,S0298,present,2025-02-10 20:48:00
A000333,SES0007,S0143,present,2025-02-10 20:39:00
A000334,SES0007,S0146,present,2025-02-10 20:55:00
A000335,SES0007,S0103,present,2025-02-10 20:10:00
A000336,SES0007,S0173,absent,2025-02-10 20:22:00
A000337,SES0007,S0097,present,2025-02-10 20:21:00
A000338,SES0007,S0207,present,2025-02-10 20:33:00
A000339,SES0007,S0190,late,2025-02-10 20:59:00
A000340,SES0007,S0214,absent,2025-02-10 20:42:00
A000341,SES0007,S0108,present,2025-02-10 20:13:00
A000342,SES0007,S0092,present,2025-02-10 20:48:00
A000343,SES0007,S0201,present,2025-02-10 20:43:00
A000344,SES0007,S0071,present,2025-02-10 20:19:00
A000345,SES0007,S0137,present,2025-02-10 20:28:00
A000346,SES0007,S0140,present,2025-02-10 20:17:00
A000347,SES0007,S0067,present,2025-02-10 20:28:00
A000348,SES0007,S0179,present,2025-02-10 20:30:00
A000349,SES0007,S0182,present,2025-02-10 20:40:00
A000350,SES0007,S0007,present,2025-02-10 20:47:00
A000351,SES0008,S0201,present,2025-02-17 20:38:00
A000352,SES0008,S0155,absent,2025-02-17 20:19:00
A000353,SES0008,S0174,present,2025-02-17 20:13:00
A000354,SES0008,S0152,late,2025-02-17 20:31:00
A000355,SES0008,S0182,present,2025-02-17 20:22:00
A000356,SES0008,S0316,absent,2025-02-17 20:01:00
A000357,SES0008,S0243,present,2025-02-17 20:23:00
A000358,SES0008,S0236,present,2025-02-17 20:06:00
A000359,SES0008,S0021,present,2025-02-17 21:00:00
A000360,SES0008,S0165,present,2025-02-17 20:24:00
A000361,SES0008,S0045,present,2025-02-17 20:19:00
A000362,SES0008,S0209,late,2025-02-17 20:22:00
A000363,SES0008,S0108,absent,2025-02-17 20:14:00
A000364,SES0008,S0134,present,2025-02-17 20:27:00
A000365,SES0008,S0118,absent,2025-02-17 20:33:00
A000366,SES0008,S0056,present,2025-02-17 20:46:00
A000367,SES0008,S0146,present,2025-02-17 20:12:00
A000368,SES0008,S0282,present,2025-02-17 20:40:00
A000369,SES0008,S0032,present,2025-02-17 20:04:00
A000370,SES0008,S0281,present,2025-02-17 20:00:00
A000371,SES0008,S0012,present,2025-02-17 20:36:00
A000372,SES0008,S0244,present,2025-02-17 20:41:00
A000373,SES0008,S0143,present,2025-02-17 20:19:00
A000374,SES0008,S0276,absent,2025-02-17 20:06:00
A000375,SES0008,S0270,present,2025-02-17 20:22:00
A000376,SES0008,S0250,present,2025-02-17 20:37:00
A000377,SES0008,S0024,absent,2025-02-17 20:41:00
A000378,SES0008,S0048,present,2025-02-17 20:34:00
A000379,SES0008,S0277,absent,2025-02-17 20:34:00
A000380,SES0008,S0042,present,2025-02-17 20:13:00
A000381,SES0008,S0163,present,2025-02-17 20:02:00
A000382,SES0008,S0294,late,2025-02-17 20:29:00
A000383,SES0008,S0214,present,2025-02-17 20:25:00
A000384,SES0008,S0179,present,2025-02-17 20:04:00
A000385,SES0008,S0103,absent,2025-02-17 20:33:00
A000386,SES0008,S0140,present,2025-02-17 20:16:00
A000387,SES0008,S0110,present,2025-02-17 20:33:00
A000388,SES0008,S0004,present,2025-02-17 20:04:00
A000389,SES0008,S0259,present,2025-02-17 20:34:00
A000390,SES0008,S0200,present,2025-02-17 20:08:00
A000391,SES0008,S0092,absent,2025-02-17 20:45:00
A000392,SES0008,S0177,present,2025-02-17 20:12:00
A000393,SES0008,S0289,present,2025-02-17 20:01:00
A000394,SES0008,S0016,absent,2025-02-17 20:38:00
A000395,SES0008,S0258,present,2025-02-17 20:59:00
A000396,SES0008,S0097,present,2025-02-17 20:19:00
A000397,SES0008,S0009,present,2025-02-17 20:24:00
A000398,SES0008,S0176,present,2025-02-17 20:21:00
A000399,SES0008,S0145,present,2025-02-17 20:01:00
A000400,SES0008,S0304,present,2025-02-17 20:24:00
A000401,SES0009,S0275,present,2025-02-23 20:52:00
A000402,SES0009,S0004,present,2025-02-23 20:23:00
A000403,SES0009,S0118,present,2025-02-23 20:13:00
A000404,SES0009,S0159,present,2025-02-23 20:50:00
A000405,SES0009,S0289,absent,2025-02-23 20:22:00
A000406,SES0009,S0290,absent,2025-02-23 20:36:00
A000407,SES0009,S0045,present,2025-02-23 20:12:00
A000408,SES0009,S0276,absent,2025-02-23 20:53:00
A000409,SES0009,S0250,present,2025-02-23 20:12:00
A000410,SES0009,S0303,present,2025-02-23 20:22:00
A000411,SES0009,S0017,absent,2025-02-23 20:37:00
A000412,SES0009,S0214,present,2025-02-23 20:09:00
A000413,SES0009,S0027,present,2025-02-23 20:40:00
A000414,SES0009,S0281,present,2025-02-23 20:03:00
A000415,SES0009,S0200,present,2025-02-23 20:39:00
A000416,SES0009,S0101,present,2025-02-23 20:45:00
A000417,SES0009,S0092,present,2025-02-23 20:29:00
A000418,SES0009,S0282,present,2025-02-23 20:00:00
A000419,SES0009,S0009,present,2025-02-23 20:05:00
A000420,SES0009,S0067,present,2025-02-23 20:44:00
A000421,SES0009,S0207,present,2025-02-23 20:58:00
A000422,SES0009,S0164,absent,2025-02-23 20:18:00
A000423,SES0009,S0103,present,2025-02-23 20:04:00
A000424,SES0009,S0051,present,2025-02-23 20:54:00
A000425,SES0009,S0188,present,2025-02-23 20:12:00
A000426,SES0009,S0071,present,2025-02-23 20:26:00
A000427,SES0009,S0065,present,2025-02-23 20:03:00
A000428,SES0009,S0085,late,2025-02-23 20:48:00
A000429,SES0009,S0259,present,2025-02-23 20:23:00
A000430,SES0009,S0097,absent,2025-02-23 20:56:00
A000431,SES0009,S0177,absent,2025-02-23 20:27:00
A000432,SES0009,S0145,present,2025-02-23 20:26:00
A000433,SES0009,S0021,present,2025-02-23 20:48:00
A000434,SES0009,S0311,present,2025-02-23 20:42:00
A000435,SES0009,S0236,present,2025-02-23 20:12:00
A000436,SES0009,S0053,present,2025-02-23 20:13:00
A000437,SES0009,S0165,present,2025-02-23 20:29:00
A000438,SES0009,S0016,present,2025-02-23 20:39:00
A000439,SES0009,S0238,present,2025-02-23 20:41:00
A000440,SES0009,S0134,present,2025-02-23 20:59:00
A000441,SES0009,S0267,present,2025-02-23 20:23:00
A000442,SES0009,S0048,absent,2025-02-23 20:35:00
A000443,SES0009,S0316,present,2025-02-23 20:09:00
A000444,SES0009,S0044,present,2025-02-23 20:41:00
A000445,SES0009,S0264,present,2025-02-23 20:55:00
A000446,SES0009,S0042,present,2025-02-23 20:11:00
A000447,SES0009,S0062,present,2025-02-23 20:39:00
A000448,SES0009,S0176,present,2025-02-23 20:22:00
A000449,SES0009,S0024,present,2025-02-23 20:20:00
A000450,SES0009,S0280,present,2025-02-23 20:32:00
A000451,SES0010,S0314,present,2025-03-01 20:14:00
A000452,SES0010,S0214,present,2025-03-01 20:56:00
A000453,SES0010,S0276,present,2025-03-01 20:12:00
A000454,SES0010,S0258,present,2025-03-01 20:08:00
A000455,SES0010,S0275,present,2025-03-01 20:23:00
A000456,SES0010,S0146,absent,2025-03-01 20:13:00
A000457,SES0010,S0179,present,2025-03-01 20:54:00
A000458,SES0010,S0079,present,2025-03-01 20:21:00
A000459,SES0010,S0222,present,2025-03-01 20:59:00
A000460,SES0010,S0074,absent,2025-03-01 20:11:00
A000461,SES0010,S0177,late,2025-03-01 20:22:00
A000462,SES0010,S0201,present,2025-03-01 20:12:00
A000463,SES0010,S0174,present,2025-03-01 20:18:00
A000464,SES0010,S0282,absent,2025-03-01 20:26:00
A000465,SES0010,S0155,absent,2025-03-01 20:01:00
A000466,SES0010,S0188,absent,2025-03-01 20:27:00
A000467,SES0010,S0021,late,2025-03-01 20:46:00
A000468,SES0010,S0085,present,2025-03-01 20:36:00
A000469,SES0010,S0027,absent,2025-03-01 20:47:00
A000470,SES0010,S0004,late,2025-03-01 20:47:00
A000471,SES0010,S0267,present,2025-03-01 20:06:00
A000472,SES0010,S0065,late,2025-03-01 20:30:00
A000473,SES0010,S0048,absent,2025-03-01 20:26:00
A000474,SES0010,S0024,absent,2025-03-01 20:01:00
A000475,SES0010,S0108,present,2025-03-01 20:42:00
A000476,SES0010,S0097,absent,2025-03-01 20:02:00
A000477,SES0010,S0216,absent,2025-03-01 20:52:00
A000478,SES0010,S0207,present,2025-03-01 20:11:00
A000479,SES0010,S0159,absent,2025-03-01 20:45:00
A000480,SES0010,S0269,present,2025-03-01 20:37:00
A000481,SES0010,S0118,present,2025-03-01 20:23:00
A000482,SES0010,S0067,present,2025-03-01 20:06:00
A000483,SES0010,S0249,absent,2025-03-01 20:26:00
A000484,SES0010,S0137,present,2025-03-01 20:14:00
A000485,SES0010,S0125,present,2025-03-01 20:09:00
A000486,SES0010,S0316,present,2025-03-01 20:58:00
A000487,SES0010,S0092,present,2025-03-01 20:16:00
A000488,SES0010,S0303,late,2025-03-01 20:59:00
A000489,SES0010,S0053,present,2025-03-01 20:52:00
A000490,SES0010,S0152,present,2025-03-01 20:08:00
A000491,SES0010,S0165,present,2025-03-01 20:47:00
A000492,SES0010,S0164,present,2025-03-01 20:18:00
A000493,SES0010,S0307,present,2025-03-01 20:12:00
A000494,SES0010,S0190,absent,2025-03-01 20:06:00
